inversion rinde
152.537302544806 474.360844208227
180.93556711683 437.457556948296
153.517593222205 460.317880938395
67.3904117546044 305.215069764336
79.2513676220551 224.355953289159
119.180128595326 410.006319960909
80.5302860564552 249.790956406483
138.627385976724 386.059678417559
106.083210429642 5
71.1947185453027 272.99625537303
64.4233910832554 293.334667810652
155.431086721364 5
61.6381510160863 272.987064747831
85.2344513405114 297.773218223218
193.925023975316 562.224981243543
169.265019486193 532.296241813257
107.98496772768 368.592223276515
196.439997118432 614.697788561786
64.2934883129783 261.288155259547
137.285199749749 355.21287011777
120.847227284685 397.581079918703
95.351938798558 393.49017975796
66.5452133282088 5
135.763839934953 5
168.611202121247 491.657734671089
145.737825368997 5
96.6959798010066 356.372684898123
153.907664818689 428.399168618442
151.192313793581 5
163.730411347933 508.029409984469
176.18839261122 5
86.0681359656155 402.868091455031
151.964098308235 5
60.5665405164473 324.032232428958
146.984131634235 469.456355158581
65.3182575944811 214.169749611405
193.364282581024 558.879570278988
162.234728480689 5
72.5340068689547 302.097545676958
96.1438759230077 301.468766136123
186.189667391591 487.235862044389
76.7035481054336 292.671510293507
91.424007806927 296.449050590178
110.733488353435 5
191.966172331013 549.787161686203
79.6581587055698 280.677452635234
69.9386406224221 334.895693488857
126.214144239202 440.332271100259
60.81798406085 236.982776905836
136.290202743839 371.022554949321
